Code,Name
DZA,Algeria
BHR,Bahrain
COM,Comoros
DJI,Djibouti
EGY,Egypt
IRQ,Iraq
JOR,Jordan
KWT,Kuwait
LBN,Lebanon
LBY,Libya
MAR,Morocco
MRT,Mauritania
OMN,Oman
PSE,Palestine
QAT,Qatar
SAU,Saudi Arabia
SOM,Somalia
SDN,Sudan
SYR,Syria
TUN,Tunisia
ARE,United Arab Emirates
YEM,Yemen
